RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,data_id
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,327098
16 GB,LPDDR5 (Onboard),5500 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",311178
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm SSD M.2']",334442
16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,335362
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2600 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",337470
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),Đang cập nhật,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",336967
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",321192
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",338207
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,16 GB,512 GB SSD NVMe PCIe,334792
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334450
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",333427
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",326124
16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,289472
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)']",334803
16 GB,DDR5 (1 khe RAM),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335556
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe Gen 4.0,338323
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",326050
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,64 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",334996
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",331362
16 GB,LPDDR5 (Onboard),5500 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,325500
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe Gen 4.0,340564
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,338311
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,323920
8 GB,LPDDR5 (Onboard),4800 MHz,Không hỗ trợ nâng cấp,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334997
16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,335372
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",326279
8 GB,DDR4 (Onboard),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,310449
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340486
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334446
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",339679
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",333430
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",328235
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",321467
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",337233
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,328237
8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),3200 MHz,16 GB,512 GB SSD NVMe PCIe,337420
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",334999
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",338204
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",329786
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,512 GB SSD NVMe PCIe,341563
16 GB,DDR4 (Onboard),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,326830
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",339683
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)']",333886
16 GB,DDR5 (1 khe RAM),4800 MHz,32 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)']",332365
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,333104
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,311176
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,341612
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),1600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",343120
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335554
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2666 MHz,16 GB,1 TB SSD M.2 PCIe,325247
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",325691
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,328238
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",338206
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327872
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))",337476
8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),3200 MHz,16 GB,512 GB SSD NVMe PCIe,326049
16 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,331564
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,1 TB SSD NVMe PCIe Gen 4,326122
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),1600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",343121
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339687
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",338278
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe Gen 4.0,338324
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",337474
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,311177
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng']",322072
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",328906
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,1 TB SSD NVMe PCIe Gen 4,310447
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),2400 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",343122
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,339681
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,340560
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,341270
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",330162
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe Gen 4.0,338318
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe Gen 4.0,318163
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,339857
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335553
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",328814
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,327707
16 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,1 TB SSD,331566
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",341607
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng']",327050
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",340559
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,336036
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",325697
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",334998
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,328949
16 GB,LPDDR5 (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",337042
16 GB,DDR4 (Onboard),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,326831
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,512 GB SSD NVMe PCIe,327097
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,335555
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,333103
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,64 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",341602
32 GB,DDR4 (1 khe 16 GB + 1 khe 16 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",330932
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",334689
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)']",338316
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))",341618
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,512 GB SSD NVMe PCIe,338322
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))",333102
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,334794
8 GB,DDR5 (1 khe 8 GB + 1 khe trống),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339202
16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",322222
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340479
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334449
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",339587
24 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,331568
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",326861
16 GB,LPDDR5 (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",337044
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",339581
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,337472
16 GB,LPDDR5 (Onboard),5500 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340491
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,322270
16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),4800 MHz,32 GB,512 GB SSD NVMe PCIe,338320
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)']",313177
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340484
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng']",314630
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))",337475
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,512 GB SSD NVMe PCIe,340004
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",340558
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,334795
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327896
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340478
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",337473
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",333421
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm SSD M.2']",332578
16 GB,DDR4 (Onboard),3200 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340481
16 GB,LPDDR5 (Onboard),4800 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,322073
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",340487
24 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,332450
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",308697
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2933 MHz,16 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",317704
16 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,325479
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",333105
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2600 MHz,16 GB,512 GB SSD NVMe PCIe,337469
16 GB,LPDDR5 (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",337041
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",333423
16 GB,DDR4,3200 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",341604
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,512 GB SSD NVMe PCIe,313974
