Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Kích thước,Chất liệu,data_id
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2023,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm - 2.34 kg,Vỏ nhựa,313974
48Wh,Windows 11 Home SL,2025,Dài 356 mm - Rộng 249 mm - Dày 17.05 mm - 1.63 kg,Vỏ kim loại - Nhôm,339656
45Wh,Windows 11 Home SL,2024,Dài 356 mm - Rộng 253.5 mm - Dày 17.5 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,332370
"3-cell, 53.5Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 259 mm - Dày 24.95 mm - 2.25 kg,Vỏ nhựa,314849
57Wh,Windows 11 Home SL,2024,Dài 313 mm - Rộng 227 mm - Dày 17.5 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,334440
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,342469
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,327977
"3-cell, 48Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 256 mm - Dày 24.5 mm - 2.3 kg,Vỏ nhựa,330578
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.77 kg,Vỏ nhựa,337043
"4-cell, 57Wh",Windows 11 Home SL,2023,Dài 362.3 mm - Rộng 239.89 mm - Dày 22.9 ~ 26.9 mm - 2.1 kg,Vỏ nhựa,319657
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.56 kg,Vỏ nhựa,325953
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,331506
"3-cell, 53Wh",Windows 11 Home SL,2024,Dài 359.7 mm - Rộng 253.22 mm - Dày 17.9 mm - 1.64 kg,Vỏ nhựa - nắp lưng bằng kim loại,333424
38Wh,Windows 11 Home SL,2024,Dài 324.2 mm - Rộng 215.2 mm - Dày 19.9 mm - 1.43 kg,Vỏ nhựa,326641
45Wh,Windows 11 Home SL,2025,Dài 313.5 mm - Rộng 224 mm - Dày 17.5 mm - 1.36 kg,Vỏ nhựa - nắp lưng bằng kim loại,339652
"4-cell, 65Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 266.4 mm - Dày 27.7 mm - 2.3 kg,Vỏ nhựa,322100
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,329853
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,327898
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,341568
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,310839
"3-cell, 43Wh",Windows 11 Home SL,2024,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - 1.5 kg,Vỏ nhựa,340483
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm - 1.67 kg,Vỏ nhựa,338312
"3-cell, 53Wh",Windows 11 Home SL,2025,Dài 362.2 mm - Rộng 248.47 mm - Dày 22.9 mm - 1.95 kg,Vỏ nhựa,339201
50 Wh,Windows 11 Home SL,2024,Dài 361 mm - Rộng 237 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,325699
45Wh,Windows 11 Home SL,2024,Dài 356 mm - Rộng 253.5 mm - Dày 17.5 mm - 1.7 kg,Vỏ kim loại - Nhôm,339653
47 Wh,Windows 11 Home SL,2024,Dài 324.2 mm - Rộng 215.2 mm - Dày 17.9 mm - 1.37 kg,Vỏ nhựa,329736
"3-cell, 43Wh",Windows 11 Home SL,2025,Dài 297.3 mm - Rộng 211.2 mm - Dày 15.1 mm - 1 kg,Vỏ kim loại,339265
"3-Cell, 39.3 Wh",Windows 11 Home SL,2023,Dài 319.9 mm - Rộng 223 mm - Dày 19.35 mm - 1.4 kg,Vỏ nhựa,327710
"3-cell, 50Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,340565
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235 mm - Dày 17.5 mm - 1.65 kg,Vỏ nhựa,340562
"3-cell, 50Wh",Windows 11 Home SL,2024,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,325477
"4-cell Li-ion, 60 Wh",Windows 11 Home SL,2025,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.38 kg,Vỏ nhựa,342526
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - 1.36 kg,Vỏ nhựa,323325
"4-cell, 64 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.71 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,329852
"3-cell, 53Wh",Windows 11 Home SL,2024,Dài 359.7 mm - Rộng 253.22 mm - Dày 17.9 mm - 1.64 kg,Vỏ nhựa - nắp lưng bằng kim loại,333425
45Wh,Windows 11 Home SL,2025,Dài 356 mm - Rộng 253.5 mm - Dày 17.5 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,339655
"3 cell, 41.04 Wh",Windows 11 Home SL,2022,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - 1.74 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,302209
"3-cell, 53.5Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - 2.25 kg,Vỏ nhựa,338000
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 358.7 mm - Rộng 249.5 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,309375
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,335170
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2023,Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm - 1.67 kg,Vỏ nhựa,325244
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2024,Dài 369 mm - Rộng 259.4 mm - Dày 22.9 mm - 2.31 kg,Vỏ nhựa,328443
70 Wh,Windows 11 Home SL,2024,Dài 339.33 mm - Rộng 236 mm - Dày 15.6 mm - 1.49 kg,Vỏ kim loại,338279
"3-cell, 40Wh",Windows 11 Home SL,2022,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,304543
45Wh,Windows 11 Home SL,2024,Dài 313.5 mm - Rộng 224 mm - Dày 16.9 mm - 1.38 kg,Vỏ kim loại - Nhôm,332368
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 313.3 mm - Rộng 218 mm - Dày 16.9 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,326637
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2024,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm - 2.31 kg,Vỏ nhựa,329429
"3-cell, 54 Wh",Windows 11 Home SL + Microsoft 365 Personal,,Dài 358.5 mm - Rộng 234.9 mm - Dày 17.5 mm - 1.65 kg,Vỏ nhựa,328474
60 Wh,Windows 11 Home SL,2024,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.38 kg,Vỏ nhựa,328483
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Vỏ kim loại,316941
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,317712
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235 mm - Dày 17.5 mm - 1.65 kg,Vỏ nhựa,340561
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,338317
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 264 mm - Dày 30.4 mm - 2.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,333094
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 306.9 mm - Rộng 208.4 mm - Dày 15.9 mm - 1.22 kg,Vỏ kim loại - Nhôm,323335
"4-cell Li-ion, 57.5 Wh",Windows 11 Home SL,2022,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm - 2.5 kg,Vỏ nhựa,272282
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2023,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm - 2.34 kg,Vỏ nhựa,313973
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,321436
47 Wh,Windows 11 Home SL,2024,Dài 359.2 mm - Rộng 235.8 mm - Dày 18.3 mm - 1.61 kg,Vỏ nhựa,329112
"4-cell, 55.2 Wh",Windows 11 Home SL,2025,Dài 359.3 mm - Rộng 245.25 mm - Dày 23.15 mm - 1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,336968
60 Wh,Windows 11 Home SL,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,339616
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 313.4 mm - Rộng 246.5 mm - Dày 18.95 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,329787
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,337471
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.28 kg,Vỏ kim loại - Nhôm,336031
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 357 mm - Rộng 250.6 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,335171
"3-cell, 43Wh",Windows 11 Home SL,2024,Dài 297.3 mm - Rộng 211.2 mm - Dày 15.1 mm - 0.985 kg,Vỏ kim loại,333872
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 313.3 mm - Rộng 218 mm - Dày 16.9 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,326876
76 Wh,Windows 11 Home SL,2025,Dài 358.3 mm - Rộng 262.5 mm - Dày 22.99 mm - 2.2 kg,Vỏ nhựa,337843
50 Wh,Windows 11 Home SL,,Dài 321.71 mm - Rộng 211.72 mm - Dày 15.9 mm - 1.25 kg,Vỏ hợp kim Nhôm,327506
"3-cell Li-ion, 59 Wh",Windows 11 Home SL,2024,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,328815
70 Wh,Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 343.8 mm - Rộng 235.4 mm - Dày 13.9 mm - 1.53 kg,Vỏ kim loại - Nhôm,333197
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 284 mm - Dày 28.55 mm - 2.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,339952
42 Wh,Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 236 mm - Dày 17.9 mm - 1.61 kg,Vỏ nhựa,313627
"3-cell Li-ion, 63 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 250.7 mm - Dày 22 mm - 1.95 kg,Vỏ nhựa,339688
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,331508
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.6 mm - Dày 19.9 mm - 1.54 kg,Vỏ nhựa,333107
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2025,Dài 354 mm - Rộng 269 mm - Dày 27.3 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,339684
"3-cell Li-ion, 59 Wh",Windows 11 Home SL,2024,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,338208
"3-cell, 51Wh",Windows 11 Home SL,2023,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - 1.72 kg,Vỏ kim loại,327406
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 362.9 mm - Rộng 237.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,327507
"4-cell, 76Wh",Windows 11 Home SL,2025,Dài 362.3 mm - Rộng 239.89 mm - Dày 23.5 mm - 2.1 kg,Vỏ nhựa,341626
"4-cell, 57Wh",Windows 11 Home SL,2025,Dài 362.3 mm - Rộng 239.89 mm - Dày 26.9 mm - 2.1 kg,Vỏ nhựa,341603
45Wh,Windows 11 Home SL,2024,Dài 313.5 mm - Rộng 224 mm - Dày 16.9 mm - 1.38 kg,Vỏ kim loại - Nhôm,328130
"3-cell, 46.8 Wh",Windows 11 Home SL,2025,Dài 323.9 mm - Rộng 217.2 mm - Dày 19.9 mm - 1.5 kg,Vỏ nhựa,339954
57Wh,Windows 11 Home SL,2024,Dài 312 mm - Rộng 221 mm - Dày 16.9 mm - 1.48 kg,Vỏ kim loại - Nhôm,326558
"4-cell, 54Wh",Windows 11 Home SL,2024,Dài 359.5 mm - Rộng 263.8 mm - Dày 26 mm - 2.292 kg,Vỏ nhựa,337842
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2025,Dài 322 mm - Rộng 219 mm - Dày 17.68 mm - 1.5 kg,Vỏ nhựa,338315
"3-cell Li-ion, 70 Wh",Windows 11 Home SL,2024,Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa,328951
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 306.9 mm - Rộng 208.4 mm - Dày 15.9 mm - 1.28 kg,Vỏ kim loại,327409
"3-cell, 50Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,328950
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,327981
"3-cell Li-Polymer, 59 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.725 kg,Vỏ hợp kim Nhôm,341267
"4-cell, 57Wh",Windows 11 Home SL,2023,Dài 362.3 mm - Rộng 239.89 mm - Dày 22.9 ~ 26.9 mm - 2.1 kg,Vỏ nhựa,318354
"3-cell, 53.5Wh",Windows 11 Home SL,,Dài 314.7 mm - Rộng 233.5 mm - Dày 22.3 mm - 1.6 kg,Vỏ nhựa,325586
70 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 312 mm - Rộng 219.3 mm - Dày 13.9 mm - 1.19 kg,Vỏ kim loại,338280
70 Wh,Windows 11 Home SL,,Dài 339.33 mm - Rộng 236 mm - Dày 15.6 mm - 1.49 kg,Vỏ kim loại - Nhôm,335549
"4-cell, 65Wh",Windows 11 Home SL,2024,Dài 312.9 mm - Rộng 217.9 mm - Dày 14.9 mm - 1.32 kg,Vỏ kim loại - Nhôm,325051
"4-cell, 56Wh",Windows 11 Home SL,2025,Dài 354 mm - Rộng 251 mm - Dày 26.7 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,339686
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,328946
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,331526
"3 cell, 41.04 Wh",Windows 11 Home SL,2022,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - 1.72 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,302533
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2024,Dài 313.6 mm - Rộng 220.6 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,325480
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,328473
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 356.7 mm - Rộng 249.5 mm - Dày 19 mm - 1.87 kg,Vỏ nhựa,328947
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 357.6 mm - Rộng 247 mm - Dày 18.9 mm - 1.7 kg,Vỏ nhựa,327508
"Li-ion, 45 Wh",Windows 11 Home SL,2025,Dài 313.5 mm - Rộng 224 mm - Dày 17.5 mm - 1.36 kg,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,342514
"4-cell, 72Wh",Windows 11 Home SL,,Dài 315.6 mm - Rộng 246.25 mm - Dày 21.8 mm - 1.7 kg,Nắp lưng và mặt đáy bằng kim loại,325588
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 314.4 mm - Rộng 221.9 mm - Dày 17.5 mm - 1.27 kg,Vỏ nhựa - nắp lưng bằng kim loại,329867
"3-cell, 53.5Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - 2.25 kg,Vỏ nhựa,322098
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,339953
76 Wh,Windows 11 Home SL,2025,Dài 358.3 mm - Rộng 262.5 mm - Dày 22.99 mm - 2.204 kg,Vỏ nhựa,339211
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2024,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,329858
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 313.4 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,331527
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2022,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - 1.72 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,309565
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 310.5 mm - Rộng 221.9 mm - Dày 15.9 mm - 1.3 kg,Vỏ kim loại - Nhôm,333098
"6-cell Li-ion, 86 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.26 mm - Rộng 274.52 mm - Dày 26.15 mm - 2.81 kg,Vỏ nhựa,327901
"6-cell Li-ion, 86 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.26 mm - Rộng 274.52 mm - Dày 26.15 mm - 2.81 kg,Vỏ nhựa,327900
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,326194
80 Wh,Windows 11 Pro,2025,Dài 339.55 mm - Rộng 228.5 mm - Dày 12.9 mm - 1.4 kg,Vỏ kim loại - Nhôm,339661
"4-cell Li-ion, 57.5 Wh",Windows 11 Home SL,2022,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm - 2.5 kg,Vỏ nhựa,313332
80 Wh,Windows 11 Home SL,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,339647
"3-cell Li-ion, 65 Wh",Windows 11 Home SL,2024,Dài 312.4 mm - Rộng 221.2 mm - Dày 15.95 mm - 1.26 kg,Vỏ kim loại,332397
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,328945
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,312414
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,327899
"Li-ion, 60 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,342501
"3-cell, 43Wh",Windows 11 Home SL,2024,Dài 297.3 mm - Rộng 211.2 mm - Dày 15.1 mm - 1 kg,Vỏ kim loại,333873
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 318.8 mm - Rộng 225.5 mm - Dày 17.99 mm - 1.5 kg,Vỏ nhựa,322003
60 Wh,Windows 11 Home SL,,Dài 314.4 mm - Rộng 222.1 mm - Dày 17.9 mm - 1.43 kg,Vỏ nhựa - nắp lưng bằng kim loại,335550
"4-cell, 55.2 Wh",Windows 11 Home SL,2025,Dài 359.3 mm - Rộng 245.25 mm - Dày 23.15 mm - 1.9 kg,Vỏ nhựa,340006
"6-cell Li-ion, 64 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 313.7 mm - Rộng 216.2 mm - Dày 14.9 mm - 1.34 kg,Vỏ kim loại,335832
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.15 mm - Dày 17.31 mm - 1.65 kg,Vỏ nhựa - nắp lưng bằng kim loại,339680
"3-cell Li-Polymer, 59 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.734 kg,Vỏ hợp kim Nhôm,341266
"3-cell Li-ion, 70 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 310.7 mm - Rộng 213.9 mm - Dày 15.9 mm - 0.98 kg,Nhôm - Magie,334800
"4-cell, 54Wh",Windows 11 Home SL,2024,Dài 359.5 mm - Rộng 263.8 mm - Dày 26 mm - 2.292 kg,Vỏ nhựa,339212
"3-cell Li-ion, 63 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 250.7 mm - Dày 22 mm - 1.95 kg,Vỏ nhựa,339690
60 Wh,Windows 11 Home SL,2025,Dài 314.4 mm - Rộng 222.1 mm - Dày 17.9 mm - 1.33 kg,Vỏ nhựa - nắp lưng bằng kim loại,337237
