Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,data_id,NPU,Hiệu năng xử lý AI (TOPS),
"['AMD Ryzen 5 - 7430U', 'AMD Ryzen 5']",6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),327098,,,
"['AMD Ryzen 5 - 7520U', 'AMD Ryzen 5']",4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),311178,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334442,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335362,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337470,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),336967,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),321192,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),338207,,,
Intel Core i3 Raptor Lake - 1315U,6,8,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),334792,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334450,,,
"['AMD Ryzen 5 - 6600H', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.50 GHz khi tải nặng),333427,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),326124,,,
"['Apple M2', 'Apple M2']",8,Hãng không công bố,100GB/s,289472,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),334803,,,
"['Intel Core i5 Alder Lake - 12450HX', 'Intel Core i5 Alder Lake']",8,12,Lên đến 4.40 GHz khi tải nặng,335556,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),338323,,,
Intel Core i3 Raptor Lake - 1315U,6,8,Lên đến 4.50 GHz khi tải nặng,326050,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),334996,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),331362,,,
"['AMD Ryzen 5 - 7520U', 'AMD Ryzen 5']",4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),325500,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),340564,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),338311,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),323920,,,
Intel Core i3 Alder Lake chuỗi N - N305,8,8,1.80 GHz (Lên đến 3.80 GHz khi tải nặng),334997,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335372,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),326279,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),310449,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),340486,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),334446,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),339679,,,
"['AMD Ryzen 5 - 6600H', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.50 GHz khi tải nặng),333430,,,
"['Intel Core i5 Alder Lake - 12500H', 'Intel Core i5 Alder Lake']",12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),328235,,,
"['AMD Ryzen 5 - 7535HS', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),321467,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),337233,,,
"['Intel Core i5 Alder Lake - 12500H', 'Intel Core i5 Alder Lake']",12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),328237,,,
"['AMD Ryzen 5 - 7530U', 'AMD Ryzen 5']",6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),337420,,,
"['AMD Ryzen 7 - 5700U', 'AMD Ryzen 7']",8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),334999,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),338204,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),329786,,,
Intel Core 5 Raptor Lake - 210H,8,12,1.60 GHz (Lên đến 4.80 GHz khi tải nặng),341563,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),326830,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),339683,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),333886,,,
"['Intel Core i5 Alder Lake - 12450HX', 'Intel Core i5 Alder Lake']",8,12,Lên đến 4.40 GHz khi tải nặng,332365,,,
"['Intel Core i7 Alder Lake - 1255U', 'Intel Core i7 Alder Lake']",10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),333104,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),311176,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),341612,,,
"['AMD Ryzen 7 - 7730U', 'AMD Ryzen 7']",8,16,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),343120,,,
Intel Core i5 Raptor Lake - 13450HX,10,16,2.40 GHz (Lên đến 4.60 GHz khi tải nặng),335554,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),325247,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),325691,,,
"['Intel Core i5 Alder Lake - 12500H', 'Intel Core i5 Alder Lake']",12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),328238,,,
Intel Core i3 Raptor Lake - 1315U,6,8,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),338206,,,
"['AMD Ryzen 7 - 7435HS', 'AMD Ryzen 7']",8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),327872,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337476,,,
"['AMD Ryzen 5 - 7530U', 'AMD Ryzen 5']",6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),326049,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,331564,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),326122,,,
"['AMD Ryzen 5 - 7430U', 'AMD Ryzen 5']",6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),343121,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),339687,,,
"['AMD Ryzen 7 - 7435HS', 'AMD Ryzen 7']",8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),338278,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),338324,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337474,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),311177,,,
"['Intel Core i5 Alder Lake - 12450HX', 'Intel Core i5 Alder Lake']",8,12,Lên đến 4.40 GHz khi tải nặng,322072,,,
"['Intel Core i3 Alder Lake - 1215U', 'Intel Core i3 Alder Lake', '1215U']",6,8,1.2GHz,328906,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),310447,,,
Intel Core i5 Raptor Lake - 13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),343122,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),339681,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),340560,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),341270,,,
"['AMD Ryzen 7 - 7435HS', 'AMD Ryzen 7']",8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),330162,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),338318,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),318163,,,
"['AMD Ryzen 5 - 7235HS', 'AMD Ryzen 5']",4,8,3.20 GHz (Lên đến 4.20 GHz khi tải nặng),339857,,,
Intel Core i5 Raptor Lake - 13450HX,10,16,2.40 GHz (Lên đến 4.60 GHz khi tải nặng),335553,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),328814,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),327707,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,331566,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),341607,,,
"['Intel Core i5 Alder Lake - 12450HX', 'Intel Core i5 Alder Lake']",8,12,Lên đến 4.40 GHz khi tải nặng,327050,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),340559,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),336036,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),325697,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334998,,,
Intel Core i5 Raptor Lake - 13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),328949,,,
Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),337042,Intel AI Boost,Hãng không công bố,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),326831,,,
Intel Core Ultra 5 Meteor Lake - 125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),327097,Intel AI Boost,Hãng không công bố,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),335555,,,
"['Intel Core i7 Alder Lake - 1255U', 'Intel Core i7 Alder Lake']",10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),333103,,,
Intel Core Ultra 5 Meteor Lake - 125H,14,18,3.60 GHz (Lên đến 4.50 GHz khi tải nặng),341602,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),330932,,,
Intel Core i5 Raptor Lake - 13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),334689,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),338316,,,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),341618,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),338322,,,
"['Intel Core i7 Alder Lake - 1255U', 'Intel Core i7 Alder Lake']",10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),333102,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),334794,,,
Intel Core i3 Raptor Lake - 1305U,5,6,1.6GHz,339202,,,
"['AMD Ryzen 7 - 5700U', 'AMD Ryzen 7']",8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),322222,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),340479,,,
"['AMD Ryzen 7 - 8845HS', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),334449,AMD XDNA,Lên đến 16 TOPS,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),339587,AMD XDNA,Lên đến 50 TOPS,
Apple M4 Pro - Hãng không công bố,12,Hãng không công bố,273 GB/s memory bandwidth,331568,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),326861,,,
Intel Core Ultra 5 Meteor Lake - 125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),337044,Intel AI Boost,Hãng không công bố,
AMD Ryzen AI 5 - 340,6,12,2.00 GHz (Lên đến 4.80 GHz khi tải nặng),339581,AMD XDNA,Lên đến 50 TOPS,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),337472,,,
"['AMD Ryzen 5 - 7520U', 'AMD Ryzen 5']",4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),340491,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),322270,,,
Intel Core Ultra 5 Arrow Lake - 225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),338320,Intel AI Boost,Max 13 TOPS,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),313177,,,
"['AMD Ryzen 5 - 7530U', 'AMD Ryzen 5']",6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),340484,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),314630,,,
"['Intel Core i7 Alder Lake - 1255U', 'Intel Core i7 Alder Lake']",10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),337475,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),340004,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),340558,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),334795,,,
"['AMD Ryzen 7 - 7435HS', 'AMD Ryzen 7']",8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),327896,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),340478,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337473,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),333421,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),332578,,,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),340481,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),322073,,,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),340487,,,
Apple M4 Pro - Hãng không công bố,12,Hãng không công bố,273 GB/s memory bandwidth,332450,,,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),308697,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),317704,,,
Intel Core Ultra 5 Meteor Lake - 125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),325479,Intel AI Boost,Hãng không công bố,
"['Intel Core i7 Alder Lake - 1255U', 'Intel Core i7 Alder Lake']",10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),333105,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),337469,,,
Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),337041,Intel AI Boost,Lên đến 11 TOPS,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),333423,,,
"['Intel Core i7 Alder Lake - 12650H', 'Intel Core i7 Alder Lake']",10,16,3.50 GHz (Lên đến 4.70 GHz khi tải nặng),341604,,,
"['AMD Ryzen 7 - 7840HS', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),313974,AMD XDNA,Max 10 TOPS,
