Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,data_id,Tấm nền,Màn hình cảm ứng
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",327098,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",311178,TN,
"15.3""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334442,IPS,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",335362,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",337470,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",336967,,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', '250 nits', 'WVA']",321192,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",338207,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",334792,,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334450,IPS,
"15.6""",Full HD (1920 x 1080),165 Hz,45% NTSC,Acer ComfyView,333427,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,326124,IPS,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",289472,,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",334803,,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits']",335556,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",338323,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",326050,,
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['LED Backlit', '300 nits', 'Acer ComfyView']",334996,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,Chống chói Anti Glare,331362,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,,"['Chống chói Anti Glare', '300 nits']",325500,IPS,
"15.6""",2.8K (2880 x 1620) - OLED,120Hz,100% DCI-P3,"['Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",340564,,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",338311,,
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",323920,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['TFT', '220 nits', 'LED Backlit', 'Acer ComfyView']",334997,,
"15.3""",Liquid Retina,Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",335372,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",326279,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,,Chống chói Anti Glare,310449,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",340486,IPS,
"15.3""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334446,IPS,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",339679,IPS,
"15.6""",Full HD (1920 x 1080),165 Hz,45% NTSC,Acer ComfyView,333430,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",328235,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",321467,IPS,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits']",337233,OLED,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",328237,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",337420,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",334999,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",338204,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,329786,IPS,
"16""",WQXGA (2560 x 1600),120Hz,100% sRGB,"['300 nits', 'ComfortView Plus']",341563,,
"14""",Full HD (1920 x 1080),60Hz,62.5% sRGB,300 nits,326830,IPS,Cảm ứng
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",339683,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",333886,,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits']",332365,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,,WVA,333104,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",311176,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,,341612,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",343120,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare']",335554,,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",325247,,
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",325691,,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",328238,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",338206,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",327872,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",337476,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",326049,IPS,
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",331564,,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,326122,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",343121,IPS,
"16""",Full HD+,144Hz,45% NTSC,"['Thời gian phản hồi: 3 ms', 'Chống chói Anti Glare', '300 nits']",339687,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",338278,IPS,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",338324,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",337474,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",311177,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",322072,IPS,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",328906,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,,310447,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",343122,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,40% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",339681,,
"15.6""",Full HD (1920 x 1080),120Hz,,WVA,340560,,
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,Chống chói Anti Glare,341270,,
"15.6""",Full HD (1920 x 1080),144Hz,"['62.5% sRGB', '47.34% Adobe RGB', '45% NTSC']","['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",330162,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",338318,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",318163,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",339857,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare']",335553,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",328814,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",327707,IPS,
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",331566,,
"15.6""",Full HD (1920 x 1080),165 Hz,100% sRGB,"['Wide viewing angle', 'LCD', 'TFT', 'Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",341607,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",327050,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",340559,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",336036,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Acer ComfyView', '250 nits']",325697,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Acer ComfyView,334998,IPS,
"15.6""",2.8K (2880 x 1620) - OLED,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",328949,OLED,
"16""",WUXGA (1920 x 1200),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",337042,IPS,
"14""",Full HD (1920 x 1080),60Hz,62.5% sRGB,300 nits,326831,IPS,Cảm ứng
"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",327097,IPS,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",335555,OLED,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",333103,,
"16""",Full HD+ (1920 x 1200),60Hz,45% NTSC,"['LED Backlit', 'Acer ComfyView', 'WVA']",341602,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",330932,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",334689,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",338316,,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",341618,IPS,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",338322,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,,WVA,333102,,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334794,IPS,
"14""",Full HD+ (1920 x 1200),60Hz,45% NTSC,,339202,IPS,
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['LED Backlit', 'Acer ComfyView']",322222,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",340479,IPS,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",334449,OLED,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",339587,OLED,
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",331568,,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,326861,IPS,
"16""",WUXGA (1920 x 1200),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",337044,IPS,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",339581,OLED,
"15.6""",Full HD (1920 x 1080),120Hz,,WVA,337472,,
"14""",Full HD (1920 x 1080),Hãng không công bố,,"['Chống chói Anti Glare', '300 nits']",340491,IPS,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",322270,,
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",338320,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,,Acer ComfyView,313177,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",340484,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,,Acer ComfyView,314630,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",337475,,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,Chống chói Anti Glare,340004,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",340558,,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334795,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",327896,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",340478,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",337473,,
"16""",Full HD+,60Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",333421,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,Acer ComfyView,332578,IPS,
"14""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,300 nits,340481,IPS,Cảm ứng
"15.6""",Full HD (1920 x 1080),60Hz,,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",322073,IPS,
"15.1""",WQXGA (2560 x 1600) OLED,165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits Glossy', 'Dolby Vision']",340487,OLED,
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'Màn hình Nano-texture', 'True Tone Technology', '1 tỷ màu']",332450,,
"15.6""",Full HD (1920 x 1080),144Hz,,Chống chói Anti Glare,308697,IPS,
"14""",Full HD (1920 x 1080),60Hz,,Chống chói Anti Glare,317704,TN,
"16""",3.2K (3200 x 2000) OLED 16:10,120Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",325479,OLED,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",333105,,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",337469,,
"16""",WUXGA (1920 x 1200),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",337041,IPS,
"16""",Full HD+,60Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",333423,,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",341604,IPS,
"16.1""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",313974,IPS,
"16""",WUXGA (1920 x 1200),60Hz,,"['Chống chói Anti Glare', '300 nits']",339656,IPS,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",332370,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,,,314849,IPS,
"14""",WUXGA (1920 x 1200) - OLED,60Hz,100% DCI-P3,"['Low Blue Light', '400 nits']",334440,OLED,Cảm ứng
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",342469,WVA,
