Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,data_id,Tấm nền,Màn hình cảm ứng
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",337242,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,,326280,IPS,
"16""",WUXGA (1920 x 1200),165 Hz,100% sRGB,"['TFT', 'LED Backlit', 'Acer ComfyView']",332579,,
"16""",WQXGA (2560 x 1600),165 Hz,100% sRGB,400 nits,341750,IPS,
"14""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",338321,IPS,
"16""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",335172,OLED,
"16.1""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",326059,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"['LED Backlit', 'Acer ComfyView', '250 nits']",329337,,
"14""",2.8K (2880 x 1800),60Hz,100% DCI-P3,"['Chống chói Anti Glare', '400 nits']",329789,IPS,
"16.1""",QHD,240Hz,100% sRGB,"['Low Blue Light', 'Thời gian phản hồi: 3 ms', 'Chống chói Anti Glare', '300 nits']",323585,IPS,
"15.6""",Full HD (1920 x 1080),180 Hz,100% sRGB,"['LCD', 'TFT', 'LED Backlit', 'Acer ComfyView', 'eDP Wide View Angle']",341608,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,62.5% sRGB,"['Chống chói Anti Glare', 'Adaptive-Sync']",317709,IPS,
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",334799,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,60Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Low Blue Light', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",326824,OLED,Cảm ứng
"14.1""",2.8K (2880 x 1800) - OLED 16:10,120Hz,,"['Chống chói Anti Glare', '400 nits']",335020,OLED,
"14""",2.8K (2880 x 1800) - OLED,120Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', 'Anti-Reflective', 'Eyesafe', 'Chống chói Anti Glare', '500 nits brightness', 'Dolby Vision']",339659,OLED,Cảm ứng
"16""",WUXGA (1920 x 1200),165 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",341751,IPS,
"16""",WUXGA (1920 x 1200),165 Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '300 nits']",339685,IPS,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",311145,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",315892,,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,Chống chói Anti Glare,327408,IPS,
"15.3""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",334444,IPS,
"15.1""",WQXGA (2560 x 1600) OLED,165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '500 nits Glossy', 'Dolby Vision', 'High Gaming Performance', 'Flicker Free']",339648,OLED,
"15.6""",QHD,165 Hz,100% DCI-P3,"['Chống chói Anti Glare', '300 nits']",341611,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",321468,OLED,
"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,,322099,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",330165,,
"2x14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",334798,OLED,Cảm ứng
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",315911,IPS,
"16""",WUXGA (1920 x 1200),165 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",341752,IPS,
"14""",WUXGA (1920 x 1200),60Hz,,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",337241,IPS,
"14""",WUXGA (1920 x 1200),60Hz,,"['Chống chói Anti Glare', '400 nits']",339658,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Low Blue Light', 'LED Backlit', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",320431,OLED,
"15.6""",Full HD (1920 x 1080),144Hz,"['62.5% sRGB', '47.34% Adobe RGB', '45% NTSC']","['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",327974,IPS,
"16.1""",Full HD (1920 x 1080),144Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",325002,,
"15.3""",2.8K (2880 x 1800) - OLED,30 - 120 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Anti-Reflective', 'anti-fingerprint', '500 nits brightness', 'Dolby Vision']",339662,OLED,
"16""",WQXGA (2560 x 1600) OLED,240Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', 'Dolby Vision', '400 nits']",337841,OLED,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",342752,Hãng không công bố,
"16""",2.5K,120Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits', 'WVA']",326864,,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', 'LED Backlit', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",334802,OLED,
"14""",2.2K,48 - 120 Hz,100% sRGB,"['Low Blue Light', '400 nits']",335835,IPS,Cảm ứng
"16""",WUXGA (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",339234,IPS,
"14""",4K/UHD+ (3840 x 2400) OLED,120Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', 'Eyesafe', '600 nits', 'Dolby Vision', 'X-Rite']",337236,OLED,Cảm ứng
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,,,339951,OLED,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",327509,,
"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",334805,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,"['62.5% sRGB', '47.34% Adobe RGB', '45% NTSC']","['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",322269,IPS,
"14""",WUXGA (1920 x 1200),60Hz,,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",335551,IPS,
"13.3""",Full HD+ (1920 x 1200),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",338313,,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,300 nits,342758,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Chuẩn DisplayHDR True Black 500', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",330579,OLED,
"14""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['Chống chói Anti Glare', 'LED Backlit', '400 nits']",334806,IPS,
"15.6""",QHD,165 Hz,100% DCI-P3,"['Chống chói Anti Glare', '300 nits']",341609,IPS,
"16""",WQXGA (2560 x 1600) OLED,240Hz,100% DCI-P3,"['Low Blue Light', 'G-Sync', '500 nits Glossy', 'Dolby Vision', 'High Gaming Performance', 'HDR 1000', 'Flicker Free']",339541,OLED,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",325242,,
"14""",2.8K (2880 x 1800) - OLED 16:10,90 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",311117,OLED,
"16""",WQXGA (2560 x 1600) OLED,240Hz,100% DCI-P3,"['Low Blue Light', 'G-Sync', '500 nits Glossy', 'Dolby Vision', 'High Gaming Performance', 'HDR 1000', 'Flicker Free']",339542,OLED,
"14""",Full HD+,60Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits', 'WVA']",339682,,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",327982,,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",328239,OLED,
"15.6""",QHD,165 Hz,100% DCI-P3,"['Chống chói Anti Glare', '300 nits']",341610,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare']",320434,IPS,
"16""",WQXGA (2560 x 1600) OLED,165 Hz,100% DCI-P3,"['Low Blue Light', 'G-Sync', '500 nits Glossy', 'Dolby Vision', 'High Gaming Performance', 'HDR 1000', 'Flicker Free']",339650,OLED,
"14""",Full HD+ (1920 x 1200),60Hz,,"['Chống chói Anti Glare', '300 nits']",340563,IPS,
"16""",WQXGA (2560 x 1600),120Hz,100% sRGB,"['300 nits', 'WVA', 'ComfortView Plus']",341564,,
"15.6""",Full HD (1920 x 1080),120Hz,,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",309243,,
"16""",QHD+ (2560 x 1600) 16:10,240Hz,100% DCI-P3,,325583,IPS,
"14""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['Chống chói Anti Glare', '500 nits brightness']",339660,IPS,
"14""",Full HD+,60Hz,45% NTSC,"['Display with ComfortView', '250 nits', 'WVA']",329851,,Cảm ứng
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",334797,OLED,Cảm ứng
"13.3""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",335181,IPS,
"15.1""",WQXGA (2560 x 1600) OLED,165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits Glossy', 'Dolby Vision']",340488,OLED,
"16""",WUXGA (1920 x 1200),144Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",339689,,
"14""",WUXGA (1920 x 1200),Hãng không công bố,100% sRGB,"['Chuẩn DisplayHDR True Black 500', '400 nits']",342495,OLED,
"17""",QHD+ (2560 x 1600) 16:10,165 Hz,100% DCI-P3,,325575,IPS,Cảm ứng
"14""",WUXGA (1920 x 1200),Hãng không công bố,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",342497,OLED,
"16""",WQXGA (2560 x 1600),120Hz,100% sRGB,"['300 nits', 'WVA', 'ComfortView Plus']",341566,,
"16""",4K/UHD+ (3840 x 2400) OLED,60Hz,100% DCI-P3,400 nits,332350,OLED,
"13.3""",2.8K (2880 x 1800) - OLED 16:10,60Hz,100% DCI-P3,400 nits,332352,OLED,
"16""",WQXGA (2560 x 1600),120Hz,100% sRGB,ComfortView Plus,341565,,
"18""",4K/UHD+ (3840 x 2400),120Hz,,"['1000 nits', 'Mini LED']",335010,,
"16""",WQXGA (2560 x 1600),120Hz,100% sRGB,"['300 nits', 'WVA', 'ComfortView Plus']",341567,,
"18""",4K/UHD+ (3840 x 2400),120Hz,,"['1000 nits', 'Mini LED']",335112,,
"18""",4K/UHD+ (3840 x 2400),120Hz,100% DCI-P3,"['1000 nits', 'Mini LED']",335113,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",342756,WVA,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",342024,IPS,
"13.3""",Retina (2560 x 1600),Hãng không công bố,,"['LED Backlit', '400 nits', 'True Tone Technology']",231244,IPS,
"15.6""",Full HD (1920 x 1080),144Hz,72% NTSC,Chống chói Anti Glare,342942,IPS,
"15.6""",Full HD (1920 x 1080),120Hz,100% sRGB,"['Chống chói Anti Glare', '250 nits']",342755,VA,
"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"['G-Sync', 'Chống chói Anti Glare', '300 nits']",342507,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",341621,Hãng không công bố,
"15.1""",WQXGA (2560 x 1600),165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits Glossy', 'Dolby Vision']",342519,OLED,
"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",342941,IPS,
"11.6""",HD (1366 x 768),60Hz,,"['220 nits', 'Chống chói Anti Glare']",328599,,
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'Màn hình Nano-texture', 'True Tone Technology', '1 tỷ màu']",332451,,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",335366,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",341622,Hãng không công bố,
"15.6""",Full HD (1920 x 1080),60Hz,,Chống chói Anti Glare,305009,,
"13.3""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",331523,IPS,Cảm ứng
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",331567,,
"13.6""",Liquid Retina (2560 x 1664),Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",335369,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% sRGB,400 nits,339558,OLED,Cảm ứng
"15.6""",QHD,165 Hz,100% DCI-P3,300 nits,341613,IPS,
"14""",HD (1366 x 768),60Hz,,Chống chói Anti Glare,328598,,
"13.3""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",331522,IPS,Cảm ứng
"14.2""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'Màn hình Nano-texture', 'True Tone Technology', '1 tỷ màu']",332448,,
"16""",WQXGA (2560 x 1600),165 Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",334694,IPS,
"14""",2.2K,Hãng không công bố,100% sRGB,,337040,IPS,Cảm ứng
"16""",WUXGA (1920 x 1200),165 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",337844,IPS,
"14""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'LED Backlit', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",339235,,
"16""",2.8K (2880 x 1800) - OLED 16:10,120Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",339236,,
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,500 nits (Khi bật HDR),341269,OLED,Cảm ứng
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,"['Eyesafe', 'DisplayHDR True Black 1000', '500 nits', 'Dolby Vision', 'X-Rite', 'PureSight Pro', '1100 nits (peak)']",342505,OLED,
"15.6""",Full HD (1920 x 1080),144Hz,,"['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",284343,IPS,
"14""",2.8K (2880 x 1800) - OLED,120Hz,100% DCI-P3,"['Low Blue Light', '400 nits']",332274,OLED,
"16""",QHD+ (2560 x 1600) 16:10,240Hz,,,335015,IPS,
"18""",4K/UHD+ (3840 x 2400),120Hz,,"['Độ sáng SDR: 600 nits', 'TFT', 'LED Backlit', 'Acer ComfyView', 'Mini LED', 'HDR 1000']",335963,,
"18""",2.5K,250 Hz,,"['Độ sáng SDR: 600 nits', 'TFT', 'LED Backlit', 'Acer ComfyView', 'Mini LED', 'HDR 1000']",335964,,
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,500 nits (Khi bật HDR),341268,OLED,Cảm ứng
"16""",4K/UHD+ (3840 x 2400),60Hz,100% DCI-P3,400 nits,341572,OLED,
"16""",QHD+ (2560 x 1600) OLED,240Hz,100% DCI-P3,OLED,341573,OLED,
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,"['Eyesafe', 'DisplayHDR True Black 1000', '500 nits', 'Dolby Vision', 'X-Rite', 'PureSight Pro', '1100 nits (peak)']",342504,OLED,
"14""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['500 nits', 'Chống chói Anti Glare']",342508,IPS,Cảm ứng
"15.1""",WQXGA (2560 x 1600),165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits', 'Dolby Vision']",342517,OLED,
"15.1""",WQXGA (2560 x 1600),165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits', 'Dolby Vision']",342523,OLED,
"16""",WUXGA (1920 x 1200),165 Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",342721,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",342725,IPS,
